ID	start	stop	Strand	Length	PID	Gene	Synonym	COG	sanger_anot	Possible.DR.phage.PEPPE.	essential.	Annotation	Filter_criteria	Filter
13714..13995	13714	13995	-	93	15607153	-	Rv0011c	-	 II.C.5		nonessential	putative septation inhibitor protein		KEEP
13996..14088	13996	14088	I	NA	NA		IG11_Rv0011c-Rv0012							KEEP
14089..14877	14089	14877	+	262	15607154	-	Rv0012	COG3879S	 III.C		nonessential	hypothetical protein		KEEP
14878..14913	14878	14913	I	NA	NA		IG12_Rv0012-Rv0013							KEEP
14914..15612	14914	15612	+	232	57116682	trpG	Rv0013	COG0512EH	 I.G.2		nonessential	para-aminobenzoate synthase component II		KEEP
15590..17470	15590	17470	-	626	15607156	pknB	Rv0014c	COG0515RTKL,COG2815S	 I.J.3		essential	transmembrane serine/threonine-protein kinase B PKNB (protein kinase B) (STPK B)		KEEP
17467..18762	17467	18762	-	431	15607157	pknA	Rv0015c	COG0515RTKL	 I.J.3		essential	transmembrane serine/threonine-protein kinase A PKNA (protein kinase A) (STPK A)		KEEP
18759..20234	18759	20234	-	491	15607158	pbpA	Rv0016c	COG0768M	 II.C.3		nonessential	penicillin-binding protein PbpA		KEEP
20231..21640	20231	21640	-	469	15607159	rodA	Rv0017c	COG0772D	 II.C.3		nonessential	cell division protein RodA		KEEP
21637..23172	21637	23172	-	514	15607160	ppp	Rv0018c	COG0631T	 I.J.3		nonessential	serine/threonine phosphatase		KEEP
23173..23181	23173	23181	-	514	15607160	ppp	Rv0018c	COG0631T	 I.J.3		nonessential	serine/threonine phosphatase	Only Marin et al 2022	KEEP
23182..23238	23182	23238	I	NA	NA		IG18_Rv0018c-Rv0019c						Only Marin et al 2022	KEEP
23239..23269	23239	23269	I	NA	NA		IG18_Rv0018c-Rv0019c							KEEP
23270..23737	23270	23737	-	155	15607161	-	Rv0019c	COG1716T	 V		nonessential	hypothetical protein		KEEP
23738..23860	23738	23860	I	NA	NA		IG19_Rv0019c-Rv0020c							KEEP
23861..24719	23861	24719	-	527	15607162	TB39.8	Rv0020c	COG1716T	 V		nonessential	hypothetical protein		KEEP
24720..24738	24720	24738	-	527	15607162	TB39.8	Rv0020c	COG1716T	 V		nonessential	hypothetical protein	Only Marin et al 2022	KEEP
24739..25444	24739	25444	-	527	15607162	TB39.8	Rv0020c	COG1716T	 V		nonessential	hypothetical protein		KEEP
25445..25912	25445	25912	I	NA	NA		IG20_Rv0020c-Rv0021c							KEEP
25913..26881	25913	26881	-	322	15607163	-	Rv0021c	COG2070R	 V		nonessential	hypothetical protein		KEEP
26882..27022	26882	27022	I	NA	NA		IG21_Rv0021c-Rv0022c							KEEP
27023..27442	27023	27442	-	139	15607164	whiB5	Rv0022c	-	 I.J.1		nonessential	transcriptional regulatory protein WHIB-like WHIB5		KEEP
27443..27594	27443	27594	I	NA	NA		IG22_Rv0022c-Rv0023							KEEP
27595..28365	27595	28365	+	256	15607165	-	Rv0023	COG1396K	 I.J.1		nonessential	transcriptional regulatory protein		KEEP
28362..29207	28362	29207	+	281	15607166	-	Rv0024	COG0791M	 IV.A		nonessential	putative secreted protein P60-related protein		KEEP
29208..29244	29208	29244	I	NA	NA		IG24_Rv0024-Rv0025							KEEP
29245..29607	29245	29607	+	120	15607167	-	Rv0025	-	 V		nonessential	hypothetical protein		KEEP
29608..29721	29608	29721	I	NA	NA		IG25_Rv0025-Rv0026							KEEP
29722..31068	29722	31068	+	448	15607168	-	Rv0026	-	 V		nonessential	hypothetical protein		KEEP
31069..31188	31069	31188	I	NA	NA		IG26_Rv0026-Rv0027							KEEP
31189..31506	31189	31506	+	105	15607169	-	Rv0027	-	 VI		nonessential	hypothetical protein		KEEP
31507..31513	31507	31513	I	NA	NA		IG27_Rv0027-Rv0028							KEEP
31514..31819	31514	31819	+	101	15607170	-	Rv0028	-	 VI		nonessential	hypothetical protein		KEEP
31820..32056	31820	32056	I	NA	NA		IG28_Rv0028-Rv0029							KEEP
32057..33154	32057	33154	+	365	15607171	-	Rv0029	-	 V		nonessential	hypothetical protein		KEEP
33155..33223	33155	33223	I	NA	NA		IG29_Rv0029-Rv0030							KEEP
33224..33553	33224	33553	+	109	15607172	-	Rv0030	-	 VI		nonessential	hypothetical protein		KEEP
33554..33581	33554	33581	I	NA	NA		IG30_Rv0030-Rv0031							KEEP
33582..33794	33582	33794	+	70	15607173	-	Rv0031	-	 IV.B.1	phage	nonessential	remnant of A transposase		KEEP
33795..34294	33795	34294	I	NA	NA		IG31_Rv0031-Rv0032							KEEP
34295..36610	34295	36610	+	771	15607174	bioF2	Rv0032	COG0156H	 I.G.1		nonessential	8-amino-7-oxononanoate synthase BioF2		KEEP
36607..36870	36607	36870	+	87	15607175	acpA	Rv0033	COG0236IQ	 I.H.1		nonessential	acyl carrier protein AcpA		KEEP
36867..37262	36867	37262	+	131	15607176	-	Rv0034	COG3631R	 V		nonessential	hypothetical protein		KEEP
37259..38947	37259	38947	+	562	57116683	fadD34	Rv0035	COG0318IQ	 I.A.3		nonessential	fatty-acid-CoA ligase		KEEP
38948..39028	38948	39028	I	NA	NA		IG35_Rv0035-Rv0036c							KEEP
39029..39030	39029	39030	I	NA	NA		IG35_Rv0035-Rv0036c						Marin et al 2022 + homoplasy analysis	DISCARD
39031..39055	39031	39055	I	NA	NA		IG35_Rv0035-Rv0036c							KEEP
39056..39829	39056	39829	-	257	15607178	-	Rv0036c	-	 V		nonessential	hypothetical protein		KEEP
39830..39876	39830	39876	I	NA	NA		IG36_Rv0036c-Rv0037c							KEEP
39877..41202	39877	41202	-	441	15607179	-	Rv0037c	COG0477GEPR	 II.C.5		nonessential	integral membrane protein		KEEP
41203..41303	41203	41303	I	NA	NA		IG37_Rv0037c-Rv0038							KEEP
41304..41912	41304	41912	+	202	15607180	-	Rv0038	COG1678K	 V		nonessential	hypothetical protein		KEEP
41913..42003	41913	42003	I	NA	NA		IG38_Rv0038-Rv0039c							KEEP
42004..42351	42004	42351	-	115	15607181	-	Rv0039c	-	 II.C.5		nonessential	transmembrane protein		KEEP
42352..42432	42352	42432	I	NA	NA		IG39_Rv0039c-Rv0040c							KEEP
42433..43365	42433	43365	-	310	57116684	mtc28	Rv0040c	-	 VI		nonessential	secreted proline rich protein MTC28 (proline rich 28 kDa antigen)		KEEP
43366..43561	43366	43561	I	NA	NA		IG40_Rv0040c-Rv0041							KEEP
43562..46471	43562	46471	+	969	15607183	leuS	Rv0041	COG0495J	 II.A.3		essential	leucyl-tRNA synthetase		KEEP
46472..46580	46472	46580	I	NA	NA		IG41_Rv0041-Rv0042c							KEEP
46581..47207	46581	47207	-	208	15607184	-	Rv0042c	COG1846K	 I.J.1		nonessential	MarR family transcriptional regulator		KEEP
47208..47365	47208	47365	I	NA	NA		IG42_Rv0042c-Rv0043c							KEEP
47366..48100	47366	48100	-	244	15607185	-	Rv0043c	COG1802K	 I.J.1		nonessential	GntR family transcriptional regulator		KEEP
48101..48232	48101	48232	I	NA	NA		IG43_Rv0043c-Rv0044c							KEEP
48233..49027	48233	49027	-	264	15607186	-	Rv0044c	COG2141C	 I.B.7		nonessential	oxidoreductase		KEEP
49028..49042	49028	49042	I	NA	NA		IG44_Rv0044c-Rv0045c							KEEP
49043..49939	49043	49939	-	298	15607187	-	Rv0045c	COG0596R	 I.H.3		nonessential	hydrolase		KEEP
49940..50020	49940	50020	I	NA	NA		IG45_Rv0045c-Rv0046c							KEEP
50021..51124	50021	51124	-	367	15607188	ino1	Rv0046c	COG1260I	 VII		nonessential	myo-inositol-1-phosphate synthase INO1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)		KEEP
51125..51184	51125	51184	I	NA	NA		IG46_Rv0046c-Rv0047c							KEEP
51185..51727	51185	51727	-	180	15607189	-	Rv0047c	COG1695K	 V		nonessential	hypothetical protein		KEEP
51728..51827	51728	51827	I	NA	NA		IG47_Rv0047c-Rv0048c							KEEP
51828..52697	51828	52697	-	289	15607190	-	Rv0048c	-	 II.C.5		nonessential	hypothetical protein		KEEP
52698..52830	52698	52830	I	NA	NA		IG48_Rv0048c-Rv0049							KEEP
52831..53244	52831	53244	+	137	15607191	-	Rv0049	-	 V		nonessential	hypothetical protein		KEEP
53245..53662	53245	53662	I	NA	NA		IG49_Rv0049-Rv0050							KEEP
53663..55547	53663	55547	+	678	57116685	ponA1	Rv0050	COG0744M	 II.C.3		nonessential	bifunctional penicillin-binding protein 1A/1B		KEEP
55548..55647	55548	55647	+	678	57116685	ponA1	Rv0050	COG0744M	 II.C.3		nonessential	bifunctional penicillin-binding protein 1A/1B	Marin et al 2022 + homoplasy analysis	DISCARD
55648..55699	55648	55699	+	678	57116685	ponA1	Rv0050	COG0744M	 II.C.3		nonessential	bifunctional penicillin-binding protein 1A/1B		KEEP
55696..57378	55696	57378	+	560	15607193	-	Rv0051	COG5650S	 II.C.5		nonessential	transmembrane protein		KEEP
57379..57409	57379	57409	I	NA	NA		IG51_Rv0051-Rv0052							KEEP
57410..57973	57410	57973	+	187	15607194	-	Rv0052	COG0693R	 V		nonessential	hypothetical protein		KEEP
57974..58191	57974	58191	I	NA	NA		IG52_Rv0052-Rv0053							KEEP
58192..58482	58192	58482	+	96	15607195	rpsF	Rv0053	COG0360J	 II.A.1		nonessential	30S ribosomal protein S6		KEEP
58483..58585	58483	58585	I	NA	NA		IG53_Rv0053-Rv0054							KEEP
58586..59080	58586	59080	+	164	15607196	ssb	Rv0054	COG0629L	 II.A.5		nonessential	single-strand DNA-binding protein		KEEP
59081..59121	59081	59121	I	NA	NA		IG54_Rv0054-Rv0055							KEEP
59122..59376	59122	59376	+	84	57116686	rpsR	Rv0055	COG0238J	 II.A.1		nonessential	30S ribosomal protein S18		KEEP
59377..59408	59377	59408	I	NA	NA		IG55_Rv0055-Rv0056							KEEP
59409..59867	59409	59867	+	152	15607198	rplI	Rv0056	COG0359J	 II.A.1		nonessential	50S ribosomal protein L9		KEEP
59868..59895	59868	59895	I	NA	NA		IG56_Rv0056-Rv0057							KEEP
59896..60417	59896	60417	+	173	15607199	-	Rv0057	-	 VI		nonessential	hypothetical protein		KEEP
60396..63020	60396	63020	+	874	15607200	dnaB	Rv0058	COG0305L,COG1372L	 II.A.5		essential	replicative DNA helicase		KEEP
63021..63199	63021	63199	I	NA	NA		IG58_Rv0058-Rv0059							KEEP
63200..63892	63200	63892	+	230	15607201	-	Rv0059	-	 VI		nonessential	hypothetical protein		KEEP
63893..63908	63893	63908	I	NA	NA		IG59_Rv0059-Rv0060							KEEP
63909..64967	63909	64967	+	352	15607202	-	Rv0060	COG2110R	 V		essential	hypothetical protein		KEEP
64968..64990	64968	64990	I	NA	NA		IG60_Rv0060-Rv0061							KEEP
64991..65416	64991	65416	+	141	15607203	-	Rv0061	-	 VI		nonessential	hypothetical protein		KEEP
65417..65551	65417	65551	I	NA	NA		IG61_Rv0061-Rv0062							KEEP
65552..66694	65552	66694	+	380	57116687	celA1	Rv0062	COG5297G	 II.B.4		nonessential	endo-1,4-beta-glucanase		KEEP
66695..66922	66695	66922	I	NA	NA		IG62_Rv0062-Rv0063							KEEP
66923..68362	66923	68362	+	479	15607205	-	Rv0063	COG0277C	 I.B.7		nonessential	oxidoreductase		KEEP
68363..68619	68363	68619	I	NA	NA		IG63_Rv0063-Rv0064							KEEP
68620..71463	68620	71463	+	979	15607206	-	Rv0064	COG1615S	 II.C.5		nonessential	hypothetical protein		KEEP
71464..71559	71464	71559	+	979	15607206	-	Rv0064	COG1615S	 II.C.5		nonessential	hypothetical protein	Only Marin et al 2022	KEEP
71560..71584	71560	71584	I	NA	NA		IG64_Rv0064-Rv0065						Only Marin et al 2022	KEEP
71585..71820	71585	71820	I	NA	NA		IG64_Rv0064-Rv0065							KEEP
71821..72222	71821	72222	+	133	15607207	-	Rv0065	COG4113R	 V		nonessential	hypothetical protein		KEEP
72223..72273	72223	72273	I	NA	NA		IG65_Rv0065-Rv0066c							KEEP
72274..74511	72274	74511	-	745	15607208	icd2	Rv0066c	COG2838C	 I.B.3		nonessential	isocitrate dehydrogenase [NADP]		KEEP
74512..74628	74512	74628	I	NA	NA		IG66_Rv0066c-Rv0067c							KEEP
74629..75198	74629	75198	-	189	15607209	-	Rv0067c	COG1309K	 I.J.1		nonessential	TetR family transcriptional regulator		KEEP
75199..75300	75199	75300	I	NA	NA		IG67_Rv0067c-Rv0068							KEEP
75301..76212	75301	76212	+	303	15607210	-	Rv0068	COG1028IQR	 I.B.7		nonessential	short chain dehydrogenase		KEEP
76213..76236	76213	76236	I	NA	NA		IG68_Rv0068-Rv0069c							KEEP
76237..77622	76237	77622	-	461	15607211	sdaA	Rv0069c	COG1760E	 I.C.2		nonessential	L-serine dehydratase SdaA		KEEP
77619..78896	77619	78896	-	425	15607212	glyA2	Rv0070c	COG0112E	 I.D.3		nonessential	serine hydroxymethyltransferase		KEEP
78897..79485	78897	79485	I	NA	NA		IG70_Rv0070c-Rv0071							KEEP
79486..79498	79486	79498	+	235	15607213	-	Rv0071	COG3344L	 II.A.5		nonessential	maturase		KEEP
79499..80193	79499	80193	+	235	15607213	-	Rv0071	COG3344L	 II.A.5		nonessential	maturase	Only Marin et al 2022	KEEP
80194..80623	80194	80623	I	NA	NA		IG71_Rv0071-Rv0072						Only Marin et al 2022	KEEP
80624..81673	80624	81673	+	349	15607214	-	Rv0072	COG0577V	 II.C.5		nonessential	glutamine-transport transmembrane protein ABC transporter	Only Marin et al 2022	KEEP
81674..81675	81674	81675	I	NA	NA		IG72_Rv0072-Rv0073							KEEP
81676..82668	81676	82668	+	330	15607215	-	Rv0073	COG1136V	 III.A		nonessential	glutamine-transport ATP-binding protein ABC transporter	Only Marin et al 2022	KEEP
82669..82747	82669	82747	I	NA	NA		IG73_Rv0073-Rv0074						Only Marin et al 2022	KEEP
82748..83035	82748	83035	+	411	15607216	-	Rv0074	COG1228Q	 V		nonessential	hypothetical protein	Only Marin et al 2022	KEEP
83036..83983	83036	83983	+	411	15607216	-	Rv0074	COG1228Q	 V		nonessential	hypothetical protein		KEEP
83984..83995	83984	83995	I	NA	NA		IG74_Rv0074-Rv0075							KEEP
83996..85168	83996	85168	+	390	15607217	-	Rv0075	COG1168E	 IV.H		nonessential	aminotransferase		KEEP
85169..85182	85169	85182	I	NA	NA		IG75_Rv0075-Rv0076c							KEEP
85183..85572	85183	85572	-	129	15607218	-	Rv0076c	-	 II.C.5		nonessential	hypothetical protein		KEEP
85573..85635	85573	85635	I	NA	NA		IG76_Rv0076c-Rv0077c							KEEP
85636..86466	85636	86466	-	276	15607219	-	Rv0077c	COG0596R	 I.B.7		nonessential	oxidoreductase		KEEP
86467..86527	86467	86527	I	NA	NA		IG77_Rv0077c-Rv0078							KEEP
86528..86777	86528	86777	+	201	15607220	-	Rv0078	COG1309K	 I.J.1		nonessential	transcriptional regulatory protein		KEEP
86778..86782	86778	86782	+	201	15607220	-	Rv0078	COG1309K	 I.J.1		nonessential	transcriptional regulatory protein	Only Marin et al 2022	KEEP
86783..87133	86783	87133	+	201	15607220	-	Rv0078	COG1309K	 I.J.1		nonessential	transcriptional regulatory protein		KEEP
87134..87207	87134	87207	I	NA	NA		IG78_Rv0078-Rv0078A							KEEP
87208..87801	87208	87801	-	197	57116688	-	Rv0078A	-	 VI		nonessential	hypothetical protein		KEEP
87802..88203	87802	88203	I	NA	NA		IG79_Rv0078A-Rv0079							KEEP
88204..89025	88204	89025	+	273	15607221	-	Rv0079	COG1544J	 VI		nonessential	hypothetical protein		KEEP
89022..89480	89022	89480	+	152	15607222	-	Rv0080	-	 V		nonessential	hypothetical protein		KEEP
89481..89574	89481	89574	I	NA	NA		IG81_Rv0080-Rv0081							KEEP
89575..89919	89575	89919	+	114	15607223	-	Rv0081	COG0640K	 I.J.1		nonessential	transcriptional regulatory protein		KEEP
89920..89923	89920	89923	I	NA	NA		IG82_Rv0081-Rv0082							KEEP
89924..90403	89924	90403	+	159	15607224	-	Rv0082	COG3260C	 I.B.7		nonessential	oxidoreductase		KEEP
90400..92322	90400	92322	+	640	15607225	-	Rv0083	COG0651CP	 I.B.7		nonessential	oxidoreductase		KEEP
92323..92327	92323	92327	I	NA	NA		IG84_Rv0083-Rv0084							KEEP
92328..93278	92328	93278	+	316	15607226	hycD	Rv0084	COG0650C	 I.B.5a		nonessential	formate hydrogenlyase HYCD		KEEP
93279..93288	93279	93288	I	NA	NA		IG85_Rv0084-Rv0085							KEEP
93289..93951	93289	93951	+	220	15607227	hycP	Rv0085	COG4237C	 I.B.5a		essential	hydrogenase HycP		KEEP
93951..95417	93951	95417	+	488	15607228	hycQ	Rv0086	COG0651CP	 I.B.5a		essential	hydrogenase HycQ		KEEP
95414..96892	95414	96892	+	492	15607229	hycE	Rv0087	COG3261C,COG3262C	 I.B.5b		nonessential	formate hydrogenase HycE		KEEP
96893..96926	96893	96926	I	NA	NA		IG88_Rv0087-Rv0088							KEEP
96927..97601	96927	97601	+	224	15607230	-	Rv0088	COG0030J	 VI		nonessential	hypothetical protein		KEEP
97602..97757	97602	97757	I	NA	NA		IG89_Rv0088-Rv0089							KEEP
97758..98351	97758	98351	+	197	15607231	-	Rv0089	COG0500QR	 I.G.1		nonessential	methyltransferase/methylase		KEEP
98352..98479	98352	98479	I	NA	NA		IG90_Rv0089-Rv0090							KEEP
98480..99250	98480	99250	+	256	15607232	-	Rv0090	COG0601EP,COG3305S	 II.C.5		nonessential	hypothetical protein		KEEP
99251..99683	99251	99683	I	NA	NA		IG91_Rv0090-Rv0091							KEEP
99684..100451	99684	100451	+	255	15607233	mtn	Rv0091	COG0775F	 IV.I		nonessential	bifunctional 5'-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase		KEEP
100452..100582	100452	100582	I	NA	NA		IG92_Rv0091-Rv0092							KEEP
100583..102868	100583	102868	+	761	15607234	ctpA	Rv0092	COG2217P	 III.A.2		nonessential	cation transporter P-type ATPase A		KEEP
102815..103663	102815	103663	-	282	15607235	-	Rv0093c	COG5660S	 II.C.4		nonessential	hypothetical protein		KEEP
103664..103701	103664	103701	I	NA	NA		IG94_Rv0093c-Rv0094c							KEEP
103702..103709	103702	103709	I	NA	NA		IG94_Rv0093c-Rv0094c						Annotation + Marin et al 2022	DISCARD
103710..104663	103710	104663	-	317	15607236	-	Rv0094c	-	 V	repeat13E12	nonessential	hypothetical protein	Annotation + Marin et al 2022	DISCARD
104664..104804	104664	104804	I	NA	NA		IG95_Rv0094c-Rv0095c			repeat			Annotation + Marin et al 2022	DISCARD
104805..104811	104805	104811	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein	Annotation + Marin et al 2022	DISCARD
104812..104812	104812	104812	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein		KEEP
104813..105137	104813	105137	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein	Annotation + Marin et al 2022	DISCARD
105138..105215	105138	105215	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein		KEEP
105216..105323	105216	105323	I	NA	NA		IG96_Rv0095c-Rv0096			repeat				KEEP
105324..106715	105324	106715	+	463	57116689	PPE1	Rv0096	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein		KEEP
106716..106733	106716	106733	I	NA	NA		IG97_Rv0096-Rv0097							KEEP
106734..107603	106734	107603	+	289	15607239	-	Rv0097	COG2175Q	 I.B.7		nonessential	oxidoreductase		KEEP
107600..108151	107600	108151	+	183	15607240	-	Rv0098	-	 V		essential	hypothetical protein		KEEP
108152..108155	108152	108155	I	NA	NA		IG99_Rv0098-Rv0099							KEEP
108156..109778	108156	109778	+	540	15607241	fadD10	Rv0099	COG0318IQ	 I.A.3		essential	acyl-CoA synthetase		KEEP
109779..109782	109779	109782	I	NA	NA		IG100_Rv0099-Rv0100							KEEP
109783..110019	109783	110019	+	78	15607242	-	Rv0100	COG3433Q	 V		essential	hypothetical protein		KEEP
110001..117539	110001	117539	+	2512	15607243	nrp	Rv0101	COG1020Q,COG3320Q	 I.I		essential	peptide synthetase		KEEP
117540..117713	117540	117713	I	NA	NA		IG102_Rv0101-Rv0102							KEEP
117714..119699	117714	119699	+	661	15607244	-	Rv0102	COG3336S	 II.C.5		essential	integral membrane protein		KEEP
119700..119914	119700	119914	I	NA	NA		IG103_Rv0102-Rv0103c							KEEP
119915..122173	119915	122173	-	752	15607245	ctpB	Rv0103c	COG2217P	 III.A.2		nonessential	cation-transporter P-type ATPase B		KEEP
122174..122316	122174	122316	I	NA	NA		IG104_Rv0103c-Rv0104							KEEP
122317..123831	122317	123831	+	504	15607246	-	Rv0104	COG0664T	 V		nonessential	hypothetical protein		KEEP
123832..123979	123832	123979	I	NA	NA		IG105_Rv0104-Rv0105c							KEEP
123980..124264	123980	124264	-	94	57116690	rpmB	Rv0105c	COG0227J	 II.A.1		nonessential	50S ribosomal protein L28		KEEP
124265..124373	124265	124373	I	NA	NA		IG106_Rv0105c-Rv0106							KEEP
124374..125570	124374	125570	+	398	15607248	-	Rv0106	COG0523R	 V		nonessential	hypothetical protein		KEEP
125571..125642	125571	125642	I	NA	NA		IG107_Rv0106-Rv0107c							KEEP
125643..130541	125643	130541	-	1632	15607249	ctpI	Rv0107c	COG0474P	 III.A.2		nonessential	cation-transporter ATPase I		KEEP
130542..130894	130542	130894	I	NA	NA		IG108_Rv0107c-Rv0108c							KEEP
130895..131104	130895	131104	-	69	15607250	-	Rv0108c	-	 VI		nonessential	hypothetical protein		KEEP
131105..131381	131105	131381	I	NA	NA		IG109_Rv0108c-Rv0109							KEEP
131382..131784	131382	131784	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
131785..131844	131785	131844	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
131845..131927	131845	131927	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
131928..131982	131928	131982	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
131983..131991	131983	131991	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
131992..131993	131992	131993	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
131994..132076	131994	132076	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
132077..132079	132077	132079	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
132080..132158	132080	132158	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
132159..132189	132159	132189	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
132190..132517	132190	132517	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
132518..132684	132518	132684	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
132685..132872	132685	132872	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein		KEEP
132873..133019	132873	133019	I	NA	NA		IG110_Rv0109-Rv0110							KEEP
133020..133769	133020	133769	+	249	15607252	-	Rv0110	COG0705R	 II.C.5		nonessential	integral membrane protein		KEEP
133770..133949	133770	133949	I	NA	NA		IG111_Rv0110-Rv0111							KEEP
133950..136007	133950	136007	+	685	15607253	-	Rv0111	COG1835I	 II.C.5		nonessential	transmembrane acyltransferase		KEEP
136008..136288	136008	136288	I	NA	NA		IG112_Rv0111-Rv0112							KEEP
136289..137245	136289	137245	+	318	15607254	gca	Rv0112	COG0451MG	 II.C.2		essential	GDP-mannose 4,6-dehydratase		KEEP
137246..137318	137246	137318	I	NA	NA		IG113_Rv0112-Rv0113							KEEP
137319..137909	137319	137909	+	196	15607255	gmhA	Rv0113	COG0279G	 II.C.2		nonessential	sedoheptulose-7-phosphate isomerase		KEEP
137910..137940	137910	137940	I	NA	NA		IG114_Rv0113-Rv0114							KEEP
137941..138513	137941	138513	+	190	15607256	gmhB	Rv0114	COG0241E	 I.D.5		nonessential	D-alpha,beta-D-heptose-1,7-biphosphate phosphatase		KEEP
138513..139673	138513	139673	+	386	15607257	hddA	Rv0115	COG2605R	 VII		nonessential	D-alpha-D-heptose-7-phosphate kinase		KEEP
139674..140266	139674	140266	I	NA	NA		IG116_Rv0115-Rv0116c							KEEP
140267..141022	140267	141022	-	251	15607258	-	Rv0116c	COG1376S	 II.C.5		nonessential	hypothetical protein		KEEP
141023..141199	141023	141199	I	NA	NA		IG117_Rv0116c-Rv0117							KEEP
141200..142144	141200	142144	+	314	15607259	oxyS	Rv0117	COG0583K	 I.J.1		nonessential	oxidative stress response regulatory protein OXYS		KEEP
